FarmFieldType;Completed;Humidity;Fertylity;Acidity;Pollution;Season;IsWindy;Result
Corn;t;1;1-2;1-4;4-5;Winter;yes;true
Corn;t;1;1-2;1-4;4-5;Winter;no;true
Corn;t;1;1-2;1-4;4-5;Autumn;yes;true
Corn;t;1;1-2;1-4;4-5;Spring;no;true
Wheat;t;1;1-2;1-4;4-5;Winter;yes;true
Wheat;t;1;1-2;1-4;4-5;Winter;no;true
Wheat;t;1;1-2;1-4;4-5;Autumn;yes;true
Wheat;t;1;1-2;1-4;4-5;Autumn;no;true
Carrot;t;1;1-2;1-4;4-5;Winter;no;true
Carrot;t;1;1-2;1-4;4-5;Autumn;yes;true
Carrot;t;1;1-2;1-4;4-5;Winter;no;true
Carrot;t;1;1-2;1-4;4-5;Autumn;yes;true
Carrot;t;1;1-2;5;1-3;Winter;no;false
Wheat;t;1;1-2;5;1-3;Autumn;no;false
Corn;t;1;1-2;5;1-3;Summer;no;false
Carrot;f;1;1-2;5;1-3;Winter;no;false
Wheat;f;1;1-2;5;1-3;Autumn;no;false
Corn;f;1;1-2;5;1-3;Summer;no;false
Corn;f;1;3-5;1-4;1-3;Winter;no;false
Wheat;t;2-5;3-5;5;4-5;Summer;no;false
Carrot;t;2-5;1-2;1-4;1-3;Spring;yes;false
Corn;t;1;3-5;5;4-5;Winter;no;true
Carrot;t;1;1-2;1-4;4-5;Spring;yes;true
Corn;f;1;3-5;5;1-3;Winter;no;false
Corn;f;1;1-2;1-4;1-3;Winter;no;false
Wheat;f;2-5;1-2;5;4-5;Summer;no;false
