Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
Carrot;t;1;1-2;1-4;4-5;Spring;yes;true
Corn;f;1;3-5;5;1-3;Winter;no;true
Corn;f;2-5;3-5;5;1-3;Winter;no;false
Corn;f;2-5;3-5;5;1-3;Spring;yes;false
Corn;f;2-5;3-5;5;1-3;Autumn;yes;false
Wheat;f;2-5;3-5;5;1-3;Autumn;no;false
Wheat;f;2-5;3-5;5;1-3;Summer;no;false
Corn;f;2-5;3-5;5;1-3;Winter;no;false
Corn;f;2-5;3-5;5;1-3;Summer;yes;false
Carrot;f;2-5;3-5;5;1-3;Summer;yes;false
Carrot;f;2-5;3-5;5;1-3;Spring;yes;false
Carrot;f;2-5;3-5;5;1-3;Autumn;yes;false
Carrot;f;2-5;3-5;5;1-3;Winter;yes;false
Carrot;f;2-5;3-5;5;1-3;Summer;no;false
Carrot;f;2-5;3-5;5;1-3;Winter;yes;false
Carrot;f;2-5;3-5;5;1-3;Spring;no;false
Carrot;t;2-5;3-5;5;1-3;Spring;no;true
Wheat;t;2-5;3-5;5;1-3;Summer;yes;true
Wheat;f;1;1-2;1-4;4-5;Winter;no;true
Wheat;t;2-5;3-5;1-4;4-5;Autumn;no;true
Wheat;f;2-5;3-5;1-4;4-5;Autumn;no;false
Carrot;t;2-5;3-5;1-4;4-5;Summer;no;true
Carrot;f;2-5;3-5;1-4;4-5;Summer;no;false
Corn;t;2-5;3-5;1-4;4-5;Winter;no;true
Corn;f;2-5;3-5;1-4;4-5;Winter;no;false
Carrot;f;2-5;1-2;5;4-5;Winter;no;true
Wheat;f;2-5;1-2;5;4-5;Autumn;no;true
Corn;f;2-5;1-2;5;4-5;Summer;no;true
Carrot;f;2-5;1-2;5;4-5;Summer;yes;true
Wheat;f;2-5;1-2;5;4-5;Spring;yes;true
Corn;f;2-5;1-2;5;4-5;Winter;yes;true
Corn;t;1;1-2;1-4;4-5;Winter;yes;true
Corn;t;1;1-2;1-4;4-5;Winter;no;true
Corn;t;1;1-2;1-4;4-5;Autumn;yes;true
Corn;t;1;1-2;1-4;4-5;Spring;no;true
Wheat;t;1;1-2;1-4;4-5;Winter;yes;true
Wheat;t;1;1-2;1-4;4-5;Winter;no;true
Wheat;t;1;1-2;1-4;4-5;Autumn;yes;true
Wheat;t;1;1-2;1-4;4-5;Autumn;no;true
Carrot;t;1;1-2;1-4;4-5;Winter;no;true
Carrot;t;1;1-2;1-4;4-5;Autumn;yes;true
Carrot;t;1;1-2;1-4;4-5;Winter;no;true
Carrot;t;1;1-2;1-4;4-5;Autumn;yes;true
Carrot;t;1;1-2;5;1-3;Winter;no;true
Wheat;t;1;1-2;5;1-3;Autumn;no;true
Corn;t;1;1-2;5;1-3;Summer;no;true
Carrot;f;1;1-2;5;1-3;Winter;no;true
Wheat;f;1;1-2;5;1-3;Autumn;no;true
Corn;f;1;1-2;5;1-3;Summer;no;true
Corn;f;1;3-5;1-4;1-3;Winter;no;true
Wheat;t;2-5;3-5;5;4-5;Summer;no;true
Carrot;t;2-5;1-2;1-4;1-3;Spring;yes;true
Corn;t;1;3-5;5;4-5;Winter;no;true
Carrot;t;1;1-2;1-4;4-5;Spring;yes;true
Corn;f;1;3-5;5;1-3;Winter;no;true
Corn;f;1;1-2;1-4;1-3;Winter;no;true
Wheat;f;2-5;1-2;5;4-5;Summer;no;true
Wheat;t;1;1-2;1-4;4-5;Summer;yes;true
Corn;f;2-5;1-2;5;4-5;Winter;no;true
Carrot;f;2-5;1-2;5;4-5;Autumn;yes;true
Wheat;f;1;3-5;5;4-5;Spring;no;true
Corn;f;2-5;1-2;1-4;4-5;Summer;no;true
Carrot;f;2-5;3-5;1-4;4-5;Winter;yes;false
Wheat;f;1;1-2;1-4;4-5;Autumn;no;true
Corn;f;2-5;3-5;1-4;4-5;Spring;yes;false
Carrot;f;2-5;3-5;1-4;4-5;Summer;yes;false
Wheat;f;1;1-2;1-4;4-5;Winter;no;true
Corn;f;1;3-5;1-4;4-5;Autumn;yes;true
Carrot;f;1;1-2;1-4;4-5;Spring;no;true
Wheat;f;1;3-5;1-4;4-5;Summer;no;true
Corn;f;2-5;1-2;1-4;4-5;Winter;yes;true
Carrot;f;2-5;1-2;1-4;4-5;Autumn;no;true
Wheat;t;1;3-5;1-4;4-5;Spring;yes;true
Corn;t;2-5;1-2;5;1-3;Summer;yes;true
Carrot;f;2-5;1-2;5;1-3;Winter;no;false
Wheat;t;1;3-5;5;1-3;Autumn;yes;true
Corn;f;2-5;1-2;5;1-3;Spring;no;false
Carrot;t;2-5;3-5;5;1-3;Summer;no;true
Wheat;f;1;1-2;5;1-3;Winter;yes;true
Corn;t;1;3-5;1-4;1-3;Autumn;no;true
Carrot;f;1;3-5;5;4-5;Spring;yes;true
Wheat;f;1;1-2;1-4;1-3;Summer;yes;true
Corn;f;2-5;3-5;5;4-5;Winter;no;false
Carrot;f;2-5;1-2;1-4;4-5;Autumn;yes;true
Wheat;f;1;3-5;5;1-3;Spring;no;true
Corn;f;2-5;1-2;1-4;1-3;Summer;no;false
Carrot;f;2-5;1-2;5;4-5;Winter;yes;true
Wheat;f;1;3-5;5;4-5;Autumn;no;true
Corn;f;2-5;1-2;5;4-5;Spring;yes;true
Carrot;f;2-5;1-2;5;4-5;Summer;yes;true
Wheat;f;1;3-5;1-4;4-5;Winter;no;true
Corn;f;2-5;1-2;1-4;4-5;Autumn;yes;true
Carrot;f;2-5;3-5;1-4;4-5;Spring;no;false
Wheat;f;1;1-2;1-4;4-5;Summer;no;true
Corn;t;1;3-5;1-4;4-5;Winter;yes;true
Carrot;t;1;3-5;1-4;4-5;Autumn;no;true
Wheat;f;1;1-2;1-4;4-5;Spring;yes;true
Corn;t;2-5;3-5;1-4;4-5;Summer;yes;true
Carrot;f;2-5;1-2;1-4;4-5;Winter;no;true
Wheat;t;1;3-5;1-4;4-5;Autumn;yes;true
Corn;f;2-5;1-2;1-4;4-5;Spring;no;true
Carrot;f;2-5;1-2;1-4;4-5;Summer;no;true
Wheat;f;1;3-5;5;1-3;Winter;yes;true
Corn;f;2-5;1-2;5;1-3;Autumn;no;false
Carrot;f;2-5;1-2;5;1-3;Spring;yes;false
Wheat;f;1;3-5;5;1-3;Summer;yes;true
Corn;f;1;1-2;5;4-5;Winter;no;true
Carrot;f;1;3-5;5;4-5;Autumn;yes;true
Wheat;f;1;1-2;5;4-5;Spring;no;true
Corn;f;2-5;3-5;1-4;4-5;Summer;no;false
Carrot;f;2-5;3-5;1-4;4-5;Winter;yes;false
Wheat;f;1;1-2;1-4;4-5;Autumn;no;true
Corn;f;2-5;3-5;1-4;4-5;Spring;yes;false
Carrot;t;2-5;1-2;1-4;4-5;Summer;yes;true
Wheat;t;1;3-5;1-4;4-5;Winter;no;true
Corn;f;2-5;1-2;1-4;4-5;Autumn;yes;true
Carrot;t;2-5;1-2;1-4;4-5;Spring;no;true
Wheat;f;1;3-5;1-4;4-5;Summer;no;true
Corn;t;2-5;1-2;1-4;4-5;Winter;yes;true
Carrot;f;2-5;1-2;1-4;4-5;Autumn;no;true
Wheat;t;1;3-5;1-4;4-5;Spring;yes;true
Corn;f;1;1-2;5;1-3;Summer;yes;true
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
